Datetime,close,BB_Upper,BB_Lower,SMA5,SMA_9,SMA_20,SMA34,SMA_50,SMA_100,MACD,AO,RSI,IFT_RSI,SAR,ROC,high,low
2024-06-25 13:00:00,543.37,544.11,543.35,543.39,543.74,543.77,544.24,544.44,545.61,-0.31,-0.8500000000000227,43.63,-0.04,544.4,-0.13,543.44,542.44
2024-06-25 13:15:00,543.69,544.11,543.35,543.34,543.69,543.75,544.17,544.44,545.57,-0.28,-0.8299999999999272,47.27,-0.23,544.28,-0.06,543.7,543.08
2024-06-25 13:30:00,543.84,544.06,543.34,543.39,543.66,543.72,544.11,544.43,545.53,-0.24,-0.7200000000000273,48.98,-0.57,544.17,0.0,543.9,543.43
2024-06-25 13:45:00,543.98,544.05,543.34,543.57,543.65,543.71,544.04,544.42,545.49,-0.2,-0.4699999999999136,50.5,-0.94,544.15,0.06,544.15,543.79
2024-06-25 14:00:00,544.14,544.06,543.34,543.8,543.62,543.71,544.0,544.41,545.45,-0.15,-0.20000000000004547,52.24,-0.88,542.44,-0.0,544.46,543.83
2024-06-25 14:15:00,544.85,544.18,543.31,544.1,543.73,543.82,543.96,544.43,545.42,-0.06,0.13999999999998636,59.34,-0.05,542.44,0.14,544.87,544.09
2024-06-25 14:30:00,544.59,544.3,543.33,544.28,543.83,543.87,543.93,544.43,545.39,-0.0,0.35000000000002274,56.11,0.26,542.54,0.09,544.86,544.29
2024-06-25 14:45:00,544.42,544.4,543.39,544.4,543.98,543.93,543.91,544.43,545.35,0.03,0.4900000000000091,54.06,0.35,542.63,0.01,544.64,543.8
2024-06-25 15:00:00,544.42,544.49,543.56,544.48,544.14,543.95,543.92,544.42,545.29,0.05,0.5600000000000591,54.0,0.37,542.72,0.09,544.57,544.24
2024-06-25 15:15:00,545.12,544.67,543.81,544.68,544.34,544.01,543.94,544.44,545.25,0.13,0.7399999999998954,60.99,0.52,542.81,0.28,545.12,544.42
2024-06-25 15:30:00,544.52,544.72,544.0,544.62,544.43,544.04,543.95,544.46,545.2,0.13,0.6699999999999591,53.49,0.4,542.94,0.26,545.12,544.38
2024-06-25 15:45:00,544.79,544.79,544.15,544.65,544.54,544.1,543.98,544.44,545.16,0.16,0.6699999999999591,56.1,0.34,543.08,0.34,545.2,544.17
2024-06-26 09:30:00,543.64,544.8,544.1,544.5,544.5,544.07,543.98,544.38,545.11,0.09,0.5199999999999818,44.6,-0.26,543.17,0.05,543.93,543.17
2024-06-26 09:45:00,544.11,544.8,544.12,544.44,544.5,544.08,543.99,544.36,545.06,0.07,0.4500000000000455,49.23,-0.68,543.17,0.08,544.39,543.58
2024-06-26 10:00:00,544.5,544.82,544.17,544.31,544.46,544.1,544.0,544.34,545.01,0.08,0.30999999999994543,52.68,-0.81,543.33,0.12,544.61,543.83
2024-06-26 10:15:00,543.8,544.74,544.04,544.17,544.37,544.07,543.99,544.29,544.96,0.04,0.17999999999994998,46.53,-1.0,543.48,-0.03,544.8,543.62
2024-06-26 10:30:00,544.08,544.7,543.99,544.03,544.33,544.08,543.98,544.25,544.91,0.02,0.049999999999954525,49.07,-0.95,543.62,-0.01,544.21,543.75
2024-06-26 10:45:00,544.21,544.68,543.96,544.14,544.31,544.11,543.98,544.21,544.87,0.02,0.15999999999996817,50.27,-0.93,543.75,-0.12,544.56,544.05
2024-06-26 11:00:00,543.32,544.64,543.78,543.98,544.11,544.12,543.96,544.16,544.82,-0.05,0.01999999999998181,42.83,-0.51,545.2,-0.23,544.4,543.03
2024-06-26 11:15:00,543.96,544.45,543.74,543.88,544.05,544.17,544.0,544.12,544.79,-0.06,-0.12000000000000455,48.71,-0.57,545.2,-0.09,544.3,543.27
2024-06-26 11:30:00,544.26,544.4,543.73,543.97,543.99,544.21,544.02,544.09,544.76,-0.03,-0.049999999999954525,51.24,-0.8,545.11,-0.03,544.28,543.66
2024-06-26 11:45:00,545.32,544.55,543.69,544.21,544.17,544.29,544.08,544.08,544.74,0.07,0.12999999999999545,58.94,-0.94,543.03,0.04,545.45,544.24
2024-06-26 12:00:00,545.1,544.74,543.8,544.39,544.28,544.36,544.11,544.06,544.72,0.13,0.2799999999999727,56.93,-0.61,543.03,0.11,545.32,544.96
2024-06-26 12:15:00,545.19,544.9,543.85,544.77,544.36,544.42,544.15,544.07,544.72,0.18,0.6200000000000045,57.57,-0.23,543.13,0.07,545.42,544.89
2024-06-26 12:30:00,544.63,544.91,543.86,544.9,544.45,544.44,544.17,544.08,544.7,0.18,0.7300000000000182,52.37,-0.29,543.22,0.18,545.34,544.54
2024-06-26 12:45:00,544.76,544.99,543.98,545.0,544.53,544.44,544.2,544.09,544.67,0.18,0.7999999999999545,53.42,-0.3,543.31,0.12,544.81,544.26
2024-06-26 13:00:00,544.94,545.07,544.07,544.92,544.61,544.46,544.23,544.1,544.65,0.2,0.6899999999999409,54.91,-0.22,543.39,0.08,545.02,544.33
2024-06-26 13:15:00,544.51,545.09,544.11,544.81,544.74,544.46,544.24,544.11,544.61,0.17,0.5699999999999363,50.75,-0.5,543.48,0.13,544.94,544.01
2024-06-26 13:30:00,544.59,545.07,544.38,544.69,544.81,544.47,544.25,544.13,544.58,0.16,0.44000000000005457,51.44,-0.74,543.56,0.09,544.62,544.27
2024-06-26 13:45:00,544.86,545.08,544.55,544.73,544.88,544.46,544.27,544.15,544.56,0.17,0.4600000000000364,54.03,-0.73,543.63,0.12,544.94,544.36
2024-06-26 14:00:00,544.66,545.08,544.64,544.71,544.8,544.46,544.29,544.17,544.54,0.16,0.42000000000007276,51.85,-0.9,543.7,0.25,544.87,544.48
2024-06-26 14:15:00,544.73,544.98,544.62,544.67,544.76,544.46,544.32,544.18,544.51,0.15,0.34999999999990905,52.6,-0.94,543.77,0.14,544.91,544.55
2024-06-26 14:30:00,544.66,544.91,544.59,544.7,544.7,544.51,544.37,544.18,544.49,0.14,0.3300000000000409,51.67,-0.99,543.84,0.07,544.84,544.3
2024-06-26 14:45:00,544.54,544.8,544.58,544.69,544.7,544.53,544.42,544.19,544.46,0.12,0.2700000000000955,50.35,-0.98,543.91,-0.14,545.11,544.53
2024-06-26 15:00:00,544.27,544.81,544.5,544.57,544.64,544.52,544.44,544.19,544.47,0.08,0.12999999999999545,47.12,-0.62,543.97,-0.15,544.66,544.13
2024-06-26 15:15:00,544.64,544.79,544.49,544.57,544.61,544.56,544.47,544.23,544.48,0.08,0.10000000000002274,51.62,-0.73,544.03,-0.1,544.69,544.22
2024-06-26 15:30:00,544.93,544.79,544.49,544.61,544.65,544.6,544.5,544.26,544.48,0.1,0.11000000000001364,54.92,-0.99,544.08,0.06,544.97,544.45
2024-06-26 15:45:00,545.53,545.01,544.48,544.78,544.76,544.67,544.55,544.31,544.49,0.16,0.2300000000000182,60.74,-0.6,544.14,0.14,546.24,544.6
2024-06-27 09:30:00,546.66,545.5,544.4,545.21,544.96,544.84,544.62,544.36,544.52,0.3,0.5900000000000318,68.93,0.18,544.26,0.32,546.77,545.37
2024-06-27 09:45:00,546.11,545.69,544.45,545.57,545.12,544.95,544.66,544.4,544.53,0.36,0.9100000000000819,62.13,0.36,544.46,0.29,546.84,545.14
2024-06-27 10:00:00,546.87,546.05,544.54,546.02,545.36,545.08,544.73,544.46,544.55,0.47,1.2899999999999636,66.98,0.54,544.7,0.42,546.9,545.76
2024-06-27 10:15:00,546.53,546.27,544.68,546.34,545.57,545.14,544.79,544.52,544.57,0.51,1.5500000000000682,63.09,0.58,544.97,0.31,546.96,546.18
2024-06-27 10:30:00,546.51,546.46,544.86,546.54,545.78,545.21,544.85,544.57,544.59,0.55,1.6899999999999409,62.86,0.6,545.25,0.34,546.81,546.25
2024-06-27 10:45:00,545.99,546.54,545.07,546.4,545.97,545.25,544.87,544.6,544.6,0.52,1.5299999999999727,57.01,0.49,545.49,0.23,546.54,545.62
2024-06-27 11:00:00,545.58,546.54,545.33,546.3,546.08,545.29,544.91,544.63,544.6,0.47,1.3899999999999864,52.83,0.15,546.96,0.17,546.04,545.48
2024-06-27 11:15:00,545.29,546.52,545.48,545.98,546.12,545.32,544.92,544.65,544.6,0.39,1.0600000000000591,50.04,-0.57,546.96,0.14,545.82,544.92
2024-06-27 11:30:00,544.84,546.52,545.46,545.64,546.04,545.32,544.96,544.67,544.6,0.29,0.67999999999995,45.94,-0.92,546.88,0.1,545.28,544.67
2024-06-27 11:45:00,545.22,546.52,545.4,545.38,545.88,545.35,544.99,544.7,544.61,0.25,0.38999999999998636,49.74,-0.56,546.75,0.11,545.32,544.7
2024-06-27 12:00:00,545.64,546.38,545.33,545.31,545.83,545.4,545.02,544.75,544.62,0.24,0.2899999999999636,53.49,-0.57,546.62,0.13,545.69,545.1
2024-06-27 12:15:00,545.86,546.35,545.31,545.37,545.72,545.45,545.08,544.81,544.63,0.25,0.2899999999999636,55.39,-0.76,546.5,0.06,546.02,545.59
2024-06-27 12:30:00,545.94,546.17,545.31,545.5,545.65,545.52,545.14,544.86,544.65,0.26,0.36000000000001364,56.09,-0.97,546.39,-0.13,546.0,545.65
2024-06-27 12:45:00,545.66,546.03,545.28,545.66,545.56,545.56,545.18,544.9,544.67,0.24,0.4800000000000182,52.95,-0.98,546.29,-0.08,546.1,545.61
2024-06-27 13:00:00,545.92,545.89,545.29,545.8,545.55,545.63,545.26,544.94,544.69,0.24,0.5399999999999636,55.45,-0.95,546.19,-0.17,546.14,545.64
2024-06-27 13:15:00,546.3,545.96,545.29,545.94,545.63,545.71,545.33,544.99,544.7,0.27,0.6100000000000136,58.92,-0.49,544.67,-0.04,546.34,545.66
2024-06-27 13:30:00,546.1,546.04,545.32,545.98,545.72,545.81,545.38,545.03,544.72,0.28,0.6000000000000227,56.4,-0.27,544.67,-0.08,546.43,546.02
2024-06-27 13:45:00,545.78,546.07,545.39,545.95,545.83,545.86,545.39,545.05,544.74,0.25,0.5600000000000591,52.61,-0.43,544.74,-0.04,546.28,545.78
2024-06-27 14:00:00,545.11,546.05,545.46,545.84,545.81,545.87,545.39,545.06,544.74,0.18,0.4500000000000455,45.69,-0.97,544.81,-0.09,545.8,544.87
2024-06-27 14:15:00,544.77,546.07,545.34,545.61,545.72,545.83,545.38,545.07,544.75,0.09,0.2300000000000182,42.63,-0.64,546.43,-0.1,545.27,544.64
